City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Namibe,AO,-15.2,12.15,63.23,81,3,2.15,clear sky
307,Padang,ID,-0.95,100.35,77.7,78,100,3.06,overcast clouds
308,Sungaipenuh,ID,-2.08,101.38,63.97,94,98,2.73,light rain
309,Santa Cruz,BO,-17.8,-63.17,64.4,45,75,3.36,broken clouds
310,Praia Da Vitoria,PT,38.73,-27.07,73.4,78,20,3.8,few clouds
311,Oussouye,SN,12.48,-16.55,82.4,83,20,4.7,few clouds
312,Riyadh,SA,24.69,46.72,95.0,15,48,5.82,scattered clouds
313,Chilca,PE,-12.52,-76.74,62.6,72,90,9.17,overcast clouds
314,Khorixas,NA,-20.37,14.97,64.96,26,0,7.85,clear sky
315,Pangoa,PE,-12.12,-73.0,62.13,81,48,0.94,scattered clouds
316,Filingue,NE,14.35,3.32,86.54,53,74,11.32,broken clouds
317,Poum,NC,-20.23,164.02,72.37,75,29,10.58,scattered clouds
318,Lira,UG,2.23,32.91,63.64,94,39,3.0,light rain
319,Bandarbeyla,SO,9.49,50.81,76.57,72,73,30.33,broken clouds
320,Angoche,MZ,-16.23,39.91,71.78,75,69,15.21,broken clouds
321,Laje,BR,-10.18,-40.97,73.26,52,0,9.75,clear sky
322,Port Hedland,AU,-20.32,118.57,62.6,36,0,8.05,clear sky
323,Catamarca,AR,-28.47,-65.79,62.01,30,0,13.0,clear sky
324,Mehamn,NO,71.04,27.85,59.11,79,40,15.46,scattered clouds
325,Abu Zabad,SD,12.35,29.25,77.81,72,17,8.93,light rain
326,Waipawa,NZ,-41.41,175.52,54.0,76,100,5.82,overcast clouds
327,Tuy Hoa,VN,13.08,109.3,78.19,82,98,5.79,overcast clouds
328,Gizo,SB,-8.1,156.84,83.57,78,80,17.09,light rain
329,Hambantota,LK,6.12,81.12,78.8,100,40,4.7,scattered clouds
330,Sakakah,SA,29.97,40.21,82.4,23,0,6.93,clear sky
331,Birao,CF,10.28,22.79,71.37,97,79,5.35,moderate rain
332,Sulphur Springs,US,33.14,-95.6,95.0,23,1,10.29,clear sky
333,Kristinehamn,SE,59.31,14.11,61.0,87,71,13.87,light rain
334,Seymchan,RU,62.88,152.43,42.66,64,100,15.1,overcast clouds
335,Ahipara,NZ,-35.17,173.17,61.63,79,43,11.16,scattered clouds
336,Airai,TL,-8.93,125.41,63.37,41,70,4.41,broken clouds
337,Howard Springs,AU,-12.5,131.05,73.99,88,20,2.24,few clouds
338,Iaciara,BR,-14.1,-46.63,81.39,33,47,4.41,scattered clouds
339,Burns Lake,CA,54.23,-125.75,61.61,47,62,14.12,broken clouds
340,Shunyi,CN,40.12,116.65,79.0,93,42,2.24,scattered clouds
341,Kano,NG,12.0,8.52,75.2,94,20,3.36,few clouds
342,Soyo,AO,-6.13,12.37,73.42,88,6,5.97,clear sky
343,Nushki,PK,29.55,66.02,83.19,45,49,4.72,scattered clouds
344,Acapulco,MX,16.86,-99.89,86.0,74,40,6.93,scattered clouds
345,Slave Lake,CA,55.28,-114.77,64.4,59,90,19.46,overcast clouds
346,Duldurga,RU,50.68,113.59,58.73,84,98,1.99,overcast clouds
347,Linqiong,CN,30.42,103.46,79.0,100,40,2.24,light intensity shower rain
348,Joniskelis,LT,56.03,24.17,66.2,93,100,10.29,light rain
349,Phalaborwa,ZA,-23.94,31.14,59.0,62,0,2.24,clear sky
350,Saint-Joseph,RE,-21.37,55.62,62.6,67,16,4.7,few clouds
351,Korla,CN,41.76,86.15,73.26,34,1,5.03,clear sky
352,Gondar,ET,12.6,37.47,58.5,89,65,1.77,light rain
353,Vila Velha,BR,-20.33,-40.29,64.4,93,90,11.41,light rain
354,Victoria,HK,22.29,114.16,82.0,78,8,3.0,clear sky
355,Juneau,US,58.3,-134.42,59.0,82,90,4.7,fog
356,Trairi,BR,-3.28,-39.27,77.38,79,1,11.21,clear sky
357,Esperance,AU,-33.87,121.9,50.0,87,75,8.05,broken clouds
358,Saint Anthony,US,45.02,-93.22,87.01,51,1,3.02,clear sky
359,Korem,ET,12.51,39.52,58.1,87,9,2.51,moderate rain
360,Padre Bernardo,BR,-15.35,-48.5,74.35,57,68,6.8,broken clouds
