City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Invermere,CA,2020-08-20 00:14:26,50.52,-116.04,86.0,13,14,7.92
259,Luanda,AO,2020-08-20 00:14:26,-8.84,13.23,69.8,94,75,2.24
260,Batatais,BR,2020-08-20 00:14:26,-20.89,-47.59,84.2,45,4,5.82
261,Marzuq,YE,2020-08-20 00:14:26,14.4,46.47,81.88,39,98,7.18
262,Nouadhibou,MR,2020-08-20 00:14:27,20.93,-17.03,71.6,83,0,17.22
263,Kerema,PG,2020-08-20 00:14:27,-7.96,145.78,79.0,75,79,5.86
264,Isangel,VU,2020-08-20 00:14:27,-19.55,169.27,80.6,65,75,5.82
265,Azare,NG,2020-08-20 00:14:27,11.68,10.19,77.63,72,63,8.48
266,Ukiah,US,2020-08-20 00:14:28,39.15,-123.21,98.6,10,1,13.87
267,Gerede,TR,2020-08-20 00:14:28,40.8,32.2,56.41,66,0,3.11
268,Atlantis,ZA,2020-08-20 00:14:28,-33.57,18.48,50.0,94,50,3.15
269,Wangou,CN,2020-08-20 00:14:28,42.06,126.91,60.46,95,100,2.95
270,Saint-Paul,RE,2020-08-20 00:14:28,-21.01,55.27,68.0,77,1,9.17
271,Margate,GB,2020-08-20 00:14:29,51.38,1.39,68.0,79,97,7.0
272,Avarua,CK,2020-08-20 00:14:29,-21.21,-159.78,75.2,78,100,23.04
273,Kappeln,DE,2020-08-20 00:14:29,54.66,9.93,66.2,88,96,10.29
274,Beloha,MG,2020-08-20 00:14:29,-25.17,45.05,66.38,83,43,2.59
275,Severo-Kurilsk,RU,2020-08-20 00:14:30,50.68,156.12,54.14,92,100,5.06
276,Yumen,CN,2020-08-20 00:14:30,40.28,97.2,67.59,34,31,16.49
277,Nabire,ID,2020-08-20 00:14:30,-3.37,135.48,81.61,78,38,2.75
278,Kangaatsiaq,GL,2020-08-20 00:14:30,68.31,-53.46,48.47,75,0,13.18
279,Tuensang,IN,2020-08-20 00:14:30,26.28,94.83,68.76,84,35,3.98
280,Marbella,ES,2020-08-20 00:14:31,36.52,-4.89,71.6,94,0,0.49
281,Sault Sainte Marie,CA,2020-08-20 00:11:47,46.52,-84.33,68.0,60,75,8.05
282,Isla Mujeres,MX,2020-08-20 00:13:25,21.23,-86.73,84.0,88,75,8.1
283,Lanzhou,CN,2020-08-20 00:14:31,36.06,103.79,50.0,93,18,4.47
284,Manokwari,ID,2020-08-20 00:14:31,-0.87,134.08,81.25,73,82,5.08
285,Kiama,AU,2020-08-20 00:14:32,-34.68,150.87,60.01,51,7,20.0
286,Hay River,CA,2020-08-20 00:14:32,60.82,-115.8,68.0,56,75,18.34
287,Tete,MZ,2020-08-20 00:14:32,-16.16,33.59,77.0,65,25,5.82
288,Kaitangata,NZ,2020-08-20 00:14:33,-46.28,169.85,51.01,81,5,4.0
289,Lewisburg,US,2020-08-20 00:09:38,35.45,-86.79,80.6,61,1,9.17
290,Balikpapan,ID,2020-08-20 00:14:33,-1.27,116.83,78.8,94,40,8.05
291,Chiredzi,ZW,2020-08-20 00:09:34,-21.05,31.67,59.18,70,100,11.01
292,Pringsewu,ID,2020-08-20 00:14:34,-5.36,104.97,74.98,92,53,1.3
293,Kiruna,SE,2020-08-20 00:14:34,67.86,20.23,42.8,93,53,4.7
294,Tatawin,TN,2020-08-20 00:14:34,32.93,10.45,86.0,42,0,4.7
